 Extraction du patron NOM+ADJ 

mobilisations algériennes
diaspora vénézuélienne
Gilets jaunes
diffusion massive
réseau social
élections européennes
loi anticasseurs
groupes différents
sénateurs socialistes
droits humains
inhabituellement lourde
perturbateur endocrinien
consortium international
d’être génotoxique
l’établissement scolaire
députés britanniques
députés britanniques
cession d’Aéroports
cession d’Aéroports
l’Assemblée nationale
affaires maritimes
navire italien
méthodes inédites
police allemande
formations postbac
flou juridique
ministres issus
société civile
monde politique
roman solaire
ferveur populaire
cité bretonne
Parlement européen
propos d’Antonio
fasciste italien
directeur général
faits d’«
biens sociaux
fraude fiscale
renvoi prochain
petits nouveaux
crash d’un
d’Ethiopian Airlines
président iranien
pression américaine
liens bilatéraux
pressions américaines
abus sexuels
construction européenne
l’imprécision historique
abus sexuels
Gilets jaunes
gouverneur militaire
stratégie risquée
question islamiste
vidéos terroristes
réseau social
c’est flou
c’est qu’il
syndicats inquiets
président américain
centre pénitentiaire
saison d’«
infos scientifiques
réchauffement climatique
Banque centrale
entreprises polluantes
dettes privées
d’énergies fossiles
cabinet d’Emmanuel
fédération internationale
tournoi olympique
location touristique
formule gagnante
caractère pornographique
l’ancien activiste
d’extrême gauche
meurtres qu’il
forces locales
Enquête russe
ressortissants russes
avions Airbus
d’Etat chinoise
L’entreprise californienne
fête foraine
violence insurrectionnelle
Elections européennes
campagne atone
Rassemblement national
Semaine critique
ministre britannique
élus conservateurs
Elections européennes
politique agricole
paradis fiscaux
crooner hanté
compositeur américain
tribunal correctionnel
village peul
système sécuritaire
droit d’auteur
projet final
droit d’auteur
point final
marathon législatif
salariés inquiets
culte musulman
réseaux sociaux
secrétaire d’Etat
violence politique
engins explosifs
visite d’Emmanuel
élections européennes
partis d’extrême
partis nationalistes
pouvoir d’achat
pouvoir d’achat
constat statistique
gestion frauduleuse
l’état désastreux
C’est différent
voile pudique
navigatrice bretonne
bateau solaire
Vibromasseurs bio
substances animales
football brésilien
disparition d’Emiliano
club nantais
saison morose
campagne coordonnée
calendrier international
avantages fiscaux
nouveautés législatives
mairie sarthoise
fragilités psychologiques
source proche
affaires judiciaires
l’enquête française
loi anticasseurs
examens …
marathonienne française
contrôle antidopage
Brexit doux
ministre britannique
l’union douanière
Brexit doux
travaux franco-britanniques
silence médiatique
toxi-infection alimentaire
acte volontaire
scolarité obligatoire
syndicats d’enseignants
continent africain
foot féminin
match amical
classement exclusif
bailleur audacieux
conséquences potentielles
Reconnaissance faciale
erreurs récurrentes
prothèses mammaires
prison ferme
foule immense
d’emplois âgés
tout numérique
outils numériques
phénomène national
parrains exceptionnels
ministre britannique
préjudice d’anxiété
contrôle antidopage
contact téléphonique
leader italien
partis souverainistes
scrutin européen
L’Emission politique
revendication syndicale
l’université d’USC
millier d’arbres
handball français
Place forte
niches fiscales
obsèques d’Agnès
regards joyeux
Parlement européen
parti d’extrême
perte d’Istanbul
président turc
L’opposition est-elle
élections municipales
communication politique
suicide –
noyade –
accident tragique
universités belges
d’étudiants français
psychologie …
aide financière
fibre jeunes
club breton
club formateur
presse locale
l’indépendance éditoriale
fioul lourd
forme solide
députés britanniques
liens étroits
l’Union européenne
vies politiques
moyenne mondiale
agression transphobe
manifestant anonyme
redevance audiovisuelle
